idSerie,título,año,resumen
201,Stranger Things,2016,A group of kids face supernatural forces
202,The Crown,2016,The life of Queen Elizabeth II
203,Black Mirror,2011,An anthology series exploring twisted high-tech multiverses
204,The Mandalorian,2019,A bounty hunter in the outer reaches of the galaxy
205,Game of Thrones,2011,Noble families vie for control of the Seven Kingdoms of Westeros
206,Friends,1994,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan
207,The Office,2005,A mockumentary on a group of typical office workers where the workday consists of ego clashes inappropriate behavior and tedium
208,Breaking Bad,2008,A high school chemistry teacher turned methamphetamine producer
209,The Simpsons,1989,The satiric adventures of a working-class family in the misfit city of Springfield
210,Sherlock,2010,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London
